	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
HYAL2	6046.68826090569	12696.5562665862	677.793662147174	147.394944299688	72.6435862060316	12.7969325241948	41.2346608119485	19.7267506262032	153.789869961098	33.1617795066468	19.4687457607963
PDLIM5	13383.5800610028	12425.6599895016	2087.66166344557	629.654796146268	358.658098457938	250.95385123297	203.377419470071	112.099545116831	360.356341291588	119.372856080741	152.804537526055
LGALS1	50040.9691025632	494613.779635348	187686.28490017	45231.1861288876	16785.0086146065	2628.80021553911	5904.01190449237	3335.50891769311	32428.1766358294	5826.64468112117	3956.66042397089
RGS3	2141.73744415266	10068.7181978879	113.449318826704	66.0153969688145	177.85970248245	39.6228779417832	82.6292887827999	78.3182931171022	197.999532425052	170.468613729125	58.9342088603037
TIMP1	80246.1546995989	324781.207633473	38306.4401080201	95487.5687269369	7757.25191122819	423.911172068335	1416.74428103143	1486.57791364139	2339.22878764996	725.328684111194	452.816422797256
RBP1	11580.9818268013	9407.46668318244	1199.65493657494	31.7092158272201	47.3951498564455	12.6706465646551	18.5379789321789	25.4099770404344	86.2260915632998	0	9.89718910082166
STOM	2667.39296213773	23703.2816468639	5284.62756528285	834.554445942574	591.364119667742	122.602613375659	192.189646057259	551.710251577139	1416.23663289864	641.049582901548	558.06884414639
LEPROT	10352.9588648543	14998.5697576353	4925.17462939876	1481.195504889	510.86402093125	317.203773451654	463.584651986088	232.633147868567	814.070173028486	147.449245598438	300.300645077644
RDX	3664.43937156456	12647.9696552748	4131.94572974825	743.031354751237	539.397811641828	201.399072823949	575.355300078745	304.41753109513	1269.23876945719	186.146008308874	127.990186642423
LTBP4	6485.36463539691	11679.268276143	626.641056018161	114.712777036828	189.532599223051	91.604717073937	138.950399023718	167.500174970767	266.834147669681	116.783210145689	76.7215747823973
TAX1BP3	21974.3285053368	19023.883569693	2887.30245287622	724.196866578482	533.162421076329	187.502144495415	265.764811281262	272.640307198714	739.478735987212	149.140614877018	192.113497264889
HSPB1	265209.017354782	168079.788612102	37052.5894696405	7784.35015151058	6530.2384314198	3992.33238257734	4232.80436442626	3475.54344339018	9682.51741243898	2732.94681190908	2812.14737154189
TNFRSF1A	11405.0608222158	12480.3728300892	6159.86887980355	1263.69471369325	409.559789282416	6.77158591714483	134.095583128939	159.857262418052	437.853606214859	199.881985056797	165.002108390161
HCFC1R1	8783.94012785459	16236.2527126295	3905.05127715254	566.147023925247	366.636776468383	324.081551862064	239.914506491983	151.75316394965	897.713018248753	150.231527501578	162.406925744155
LAPTM4A	51348.8010021123	52320.5510735156	15646.6003616968	3271.2311934289	3476.22050291185	1198.54698137903	1348.69647354847	945.616088220013	1622.85097218729	734.729552718441	620.81510275035
CSRP1	11333.5213060793	21796.6936631497	3036.91408086535	539.043639882172	480.399153102315	169.10955834523	258.525661144428	271.920466634545	1009.5857890145	111.056907252975	185.008024168565
INHBA	306.023503309922	21143.1107071509	5885.81834109693	4020.3808496861	138.832639471601	9.18404450501257	13.237121240808	4.99803200483092	58.7152165413284	12.3155912826285	12.0925522540735
LIMA1	21640.8650375425	11658.3033635676	1345.05573109508	246.053085637739	256.675770280619	52.0214448191379	559.115388903768	221.984726676245	963.421712593219	153.812183867944	162.373018477211
CD63	199177.806737252	153459.752942497	86194.8692944718	18609.9186745244	8328.30448793543	979.654490264748	1662.52016178879	1614.17559106989	7993.35499888853	4178.51843505353	2787.53886836798
PVRL2	17772.87494139	11845.2762240436	4530.24010777473	1173.65081639866	258.636764245055	21.0879867820005	27.2329095318517	47.7275803152533	80.1069608110632	40.2846322051478	13.3358095090477
VKORC1	16431.637500626	21761.5960518185	8150.87841063684	1433.4967212643	1074.34366874457	168.254600292236	529.778448684994	533.652854357903	1734.66381619854	315.074191116833	367.746478362994
