"","values","samples","models","cols"
"315",0.113762912443941,"NIC27","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"316",0.17532756843651,"NIC29","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"317",0.188098220847205,"NIC3","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"318",0.218776594640282,"NIC4","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"319",0.261291525660054,"NIC5","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"320",0.197538729174631,"NIC6","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"321",0.193378858846008,"NIC7","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"322",0.223100294451997,"S52","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"323",0.0646448860869433,"NIC12nova","Scaden","uncorrected_woProl_gd"
"324",0.0716177777405299,"NIC12","Scaden","uncorrected_woProl_gd"
"325",0.242654045676011,"NIC13","Scaden","uncorrected_woProl_gd"
"326",0.157624641831932,"NIC15","Scaden","uncorrected_woProl_gd"
"327",0.0480761930960878,"NIC16","Scaden","uncorrected_woProl_gd"
"328",0.0811077488698845,"NIC17","Scaden","uncorrected_woProl_gd"
"329",0.066390180983655,"NIC18","Scaden","uncorrected_woProl_gd"
"330",0.104096869152355,"NIC19","Scaden","uncorrected_woProl_gd"
"331",0.0361988870504362,"NIC20","Scaden","uncorrected_woProl_gd"
"332",0.0842815875009386,"NIC21","Scaden","uncorrected_woProl_gd"
"333",0.122309273266463,"NIC22nova","Scaden","uncorrected_woProl_gd"
"334",0.10726331319688,"NIC22","Scaden","uncorrected_woProl_gd"
