"","values","cell_types","models","cols"
"238",0.0127130958951386,"Bcells","MOMF","uncorrected_gd"
"239",0.0441609019534661,"CD4 Tcells","MOMF","uncorrected_gd"
"240",0.119221956305711,"Regulatory CD4 Tcells","MOMF","uncorrected_gd"
"241",0.231941041476498,"CD8 Tcells","MOMF","uncorrected_gd"
"242",0.0188861247347088,"Proliferative Tcells","MOMF","uncorrected_gd"
"243",0.374229053039337,"NK cells","MOMF","uncorrected_gd"
"244",0.676201144895396,"Cancer cells","MOMF","uncorrected_gdwoOthers"
"245",0.275656434092691,"Stromal cells","MOMF","uncorrected_gdwoOthers"
"246",0.0905755827577336,"Macro/mono Lineage","MOMF","uncorrected_gdwoOthers"
"247",0.0127796405377193,"Bcells","MOMF","uncorrected_gdwoOthers"
"248",0.04749965883081,"CD4 Tcells","MOMF","uncorrected_gdwoOthers"
"249",0.118746030872775,"Regulatory CD4 Tcells","MOMF","uncorrected_gdwoOthers"
"250",0.231473869851339,"CD8 Tcells","MOMF","uncorrected_gdwoOthers"
"251",0.0187664550942751,"Proliferative Tcells","MOMF","uncorrected_gdwoOthers"
"252",0.374094454771083,"NK cells","MOMF","uncorrected_gdwoOthers"
"253",0.503764533129554,"Cancer cells","MuSiC_wGrouping","uncorrected_gd"
"254",0.145448926731166,"Stromal cells","MuSiC_wGrouping","uncorrected_gd"
"255",0.156296523428494,"Macro/mono Lineage","MuSiC_wGrouping","uncorrected_gd"
"256",0.0368558596277585,"Bcells","MuSiC_wGrouping","uncorrected_gd"
"257",0.0384705157204761,"CD4 Tcells","MuSiC_wGrouping","uncorrected_gd"
"258",0.0929686682580241,"Regulatory CD4 Tcells","MuSiC_wGrouping","uncorrected_gd"
"259",0.110637821445181,"CD8 Tcells","MuSiC_wGrouping","uncorrected_gd"
"260",0.0174704646769779,"Proliferative Tcells","MuSiC_wGrouping","uncorrected_gd"
"261",0.0676175924246028,"NK cells","MuSiC_wGrouping","uncorrected_gd"
"262",0.532132127135292,"Cancer cells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"263",0.142730634470052,"Stromal cells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"264",0.153235266550199,"Macro/mono Lineage","MuSiC_wGrouping","uncorrected_gdwoOthers"
"265",0.0366464880693098,"Bcells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"266",0.0418492835780155,"CD4 Tcells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"267",0.0924108592093645,"Regulatory CD4 Tcells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"268",0.109582637294882,"CD8 Tcells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"269",0.0173680162241748,"Proliferative Tcells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"270",0.0674387811988432,"NK cells","MuSiC_wGrouping","uncorrected_gdwoOthers"
"271",0.21109321466182,"Cancer cells","Scaden","uncorrected_gd"
"272",0.301609629726871,"Stromal cells","Scaden","uncorrected_gd"
"273",0.0863031798982181,"Macro/mono Lineage","Scaden","uncorrected_gd"
"274",0.00385186106295606,"Bcells","Scaden","uncorrected_gd"
"275",0.0439726658320411,"CD4 Tcells","Scaden","uncorrected_gd"
"276",0.00877841900081465,"Regulatory CD4 Tcells","Scaden","uncorrected_gd"
"277",0.0213251215333565,"CD8 Tcells","Scaden","uncorrected_gd"
"278",0.0631234658314539,"Proliferative Tcells","Scaden","uncorrected_gd"
"279",0.00451129579753754,"NK cells","Scaden","uncorrected_gd"
"280",0.231121458314512,"Cancer cells","Scaden","uncorrected_gdwoOthers"
"281",0.295590795579347,"Stromal cells","Scaden","uncorrected_gdwoOthers"
"282",0.0922637226825236,"Macro/mono Lineage","Scaden","uncorrected_gdwoOthers"
"283",0.00409963688585859,"Bcells","Scaden","uncorrected_gdwoOthers"
"284",0.0473134065755863,"CD4 Tcells","Scaden","uncorrected_gdwoOthers"
"285",0.00946147548619983,"Regulatory CD4 Tcells","Scaden","uncorrected_gdwoOthers"
"286",0.0232841286017125,"CD8 Tcells","Scaden","uncorrected_gdwoOthers"
"287",0.0630255589258182,"Proliferative Tcells","Scaden","uncorrected_gdwoOthers"
"288",0.00470958244273087,"NK cells","Scaden","uncorrected_gdwoOthers"
"289",0.56134772852912,"Cancer cells","SCDC","uncorrected_gd"
"290",0.511358361498915,"Stromal cells","SCDC","uncorrected_gd"
"291",0.0765475344850046,"Macro/mono Lineage","SCDC","uncorrected_gd"
"292",0.00422675222354473,"Bcells","SCDC","uncorrected_gd"
"293",0.0441609019534661,"CD4 Tcells","SCDC","uncorrected_gd"
"294",0.00960896599112213,"Regulatory CD4 Tcells","SCDC","uncorrected_gd"
"295",0.0223889277091139,"CD8 Tcells","SCDC","uncorrected_gd"
"296",0.225464205840205,"Proliferative Tcells","SCDC","uncorrected_gd"
"297",0.00475716895576284,"NK cells","SCDC","uncorrected_gd"
"298",0.590892000930051,"Cancer cells","SCDC","uncorrected_gdwoOthers"
"299",0.504468450577608,"Stromal cells","SCDC","uncorrected_gdwoOthers"
"300",0.0802624117117068,"Macro/mono Lineage","SCDC","uncorrected_gdwoOthers"
"301",0.0045844294643717,"Bcells","SCDC","uncorrected_gdwoOthers"
"302",0.04749965883081,"CD4 Tcells","SCDC","uncorrected_gdwoOthers"
"303",0.0102903695826728,"Regulatory CD4 Tcells","SCDC","uncorrected_gdwoOthers"
"304",0.0243284014647083,"CD8 Tcells","SCDC","uncorrected_gdwoOthers"
"305",0.225358313447,"Proliferative Tcells","SCDC","uncorrected_gdwoOthers"
"306",0.00499416941866234,"NK cells","SCDC","uncorrected_gdwoOthers"
"307",0.521039501182173,"Cancer cells","BisqueRNA","correctedBefore_woProl_gd"
"308",0.132617720661648,"Stromal cells","BisqueRNA","correctedBefore_woProl_gd"
"309",0.0896045872736794,"Macro/mono Lineage","BisqueRNA","correctedBefore_woProl_gd"
"310",0.109388685909561,"Bcells","BisqueRNA","correctedBefore_woProl_gd"
"311",0.147680284489452,"CD4 Tcells","BisqueRNA","correctedBefore_woProl_gd"
"312",0.13695213602776,"Regulatory CD4 Tcells","BisqueRNA","correctedBefore_woProl_gd"
"313",0.113436308153795,"CD8 Tcells","BisqueRNA","correctedBefore_woProl_gd"
"314",0.0985400587068402,"NK cells","BisqueRNA","correctedBefore_woProl_gd"
"315",0.550488938380508,"Cancer cells","BisqueRNA","correctedBefore_woProl_gdwoOthers"
"316",0.131223766195502,"Stromal cells","BisqueRNA","correctedBefore_woProl_gdwoOthers"
"317",0.0881500216610945,"Macro/mono Lineage","BisqueRNA","correctedBefore_woProl_gdwoOthers"
